M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-4.4	18.8	0.208072447	3.045421895	1.163499401	2.819937105	-1.352045606	0.069193323
3.5	-4.4	20	0.218446337	3.288834581	1.310339781	3.022436398	-1.491050414	0.06885034
3.5	-3.6	-10	0.119563045	-1.298004446	0.362519806	-1.252560822	0.914396382	0.067555645
3.5	-3.6	-8.8	0.115991007	-1.108418988	0.304512189	-1.072785955	0.790764204	0.067452819
3.5	-3.6	-7.6	0.112867248	-0.924829484	0.251878215	-0.897956111	0.675913467	0.067275121
3.5	-3.6	-6.4	0.110640048	-0.75323189	0.209991524	-0.73301631	0.578625614	0.06694768
3.5	-3.6	-5.2	0.10912846	-0.59421775	0.177560801	-0.579227752	0.498210812	0.066245034
3.5	-3.6	-4	0.107974678	-0.441495337	0.149858064	-0.431014815	0.426232536	0.065354786
3.5	-3.6	-2.8	0.107672578	-0.30475623	0.134142966	-0.29748656	0.370061018	0.063879791
3.5	-3.6	-1.6	0.108112551	-0.170938971	0.122343981	-0.166673511	0.31783705	0.062980028
3.5	-3.6	-0.4	0.110036672	-0.04296541	0.118377218	-0.041290874	0.273508183	0.063230731
3.5	-3.6	0.8	0.111805485	0.086966031	0.120280659	0.086034074	0.226100519	0.064514268
3.5	-3.6	2	0.113496645	0.217876411	0.125119201	0.214330179	0.177153457	0.066314223
3.5	-3.6	3.2	0.11688004	0.360078806	0.141571428	0.353274291	0.116538386	0.066592773
3.5	-3.6	4.4	0.120502985	0.5078109	0.162135438	0.497302739	0.050713105	0.066703639
3.5	-3.6	5.6	0.124605031	0.666602393	0.190923013	0.651499862	-0.025532598	0.066479135
3.5	-3.6	6.8	0.129446172	0.842244227	0.230021301	0.821030251	-0.118229293	0.066791709
3.5	-3.6	8	0.134656861	1.026311232	0.274274947	0.998227272	-0.219151483	0.067372822
3.5	-3.6	9.2	0.140882031	1.232207554	0.335686034	1.193963081	-0.341283907	0.068440873
3.5	-3.6	10.4	0.147396608	1.442601191	0.402885625	1.3927756	-0.466743893	0.069337735
3.5	-3.6	11.6	0.154489998	1.661989458	0.481662225	1.597741536	-0.598859006	0.069892217
3.5	-3.6	12.8	0.162210768	1.886640066	0.571938583	1.8044802	-0.732124367	0.070151062
3.5	-3.6	14	0.170245229	2.113921845	0.66796482	2.012105227	-0.865964852	0.070262087
3.5	-3.6	15.2	0.179143113	2.347840667	0.781356747	2.220139908	-1.001440422	0.070043373
3.5	-3.6	16.4	0.188291333	2.583379907	0.90043754	2.42740635	-1.137007865	0.069802446
3.5	-3.6	17.6	0.197940224	2.822159985	1.030896068	2.633136311	-1.272759054	0.069517096
3.5	-3.6	18.8	0.208072447	3.064200693	1.17280826	2.836673898	-1.410679322	0.069193323
3.5	-3.6	20	0.218446337	3.307871717	1.320447284	3.039115298	-1.549684131	0.06885034
3.5	-2.8	-10	0.119563045	-1.27995067	0.355078782	-1.235884016	0.855762665	0.067555645
3.5	-2.8	-8.8	0.115991007	-1.090768054	0.297862356	-1.056283867	0.732130487	0.067452819
3.5	-2.8	-7.6	0.112867248	-0.907604231	0.246012086	-0.881666271	0.617279751	0.067275121
3.5	-2.8	-6.4	0.110640048	-0.736477996	0.204894123	-0.717013782	0.519991898	0.06694768
3.5	-2.8	-5.2	0.10912846	-0.577978827	0.173209154	-0.56358464	0.439577096	0.066245034
3.5	-2.8	-4	0.107974678	-0.425793193	0.146240682	-0.415767171	0.36759882	0.065354786
3.5	-2.8	-2.8	0.107672578	-0.289652757	0.131213962	-0.282736701	0.311427301	0.063879791
3.5	-2.8	-1.6	0.108112551	-0.15645349	0.120084493	-0.152453154	0.259203333	0.062980028
3.5	-2.8	-0.4	0.110036672	-0.029136561	0.116749526	-0.027663456	0.214874466	0.063230731
3.5	-2.8	0.8	0.111805485	0.100271578	0.119246401	0.099179707	0.167466802	0.064514268
3.5	-2.8	2	0.113496645	0.230725321	0.124659195	0.227049602	0.11851974	0.066314223
3.5	-2.8	3.2	0.11688004	0.372927716	0.14166343	0.365993714	0.057904669	0.066592773
3.5	-2.8	4.4	0.120502985	0.520812022	0.162786862	0.510164232	-0.007920612	0.066703639
3.5	-2.8	5.6	0.124605031	0.680060152	0.192148688	0.664787565	-0.084166315	0.066479135
3.5	-2.8	6.8	0.129446172	0.856291953	0.231859592	0.834855315	-0.176863009	0.066791709
3.5	-2.8	8	0.134656861	1.04101559	0.276745033	1.012645275	-0.2777852	0.067372822
